EIN,Name of Organization,City,State,Fiscal Year,Grants and Contributions,Other Revenue,Total Revenue,Total Grants Proportion,Compensation of Officers,Other Salaries and Wages,Total Expenses,Net Assets at End,Gross Receipts,Gross Assets
33-0145660,Huntington Beach Wetlands Conservancy,Huntington Beach,CA,2020,389185,41095,468401,0.83,20000,75024,541675,6885973,523158,9122010
33-0145660,Huntington Beach Wetlands Conservancy,Huntington Beach,CA,2019,395211,44303,477795,0.83,17000,65520,381088,6957810,523158,9122010
94-2665367,OCEAN VOYAGES INSTITUTE,Sausalito,CA,2022,770552,115,770667,1,0,0,483329,3383373,478925,3870703
94-2665367,OCEAN VOYAGES INSTITUTE,Sausalito,CA,2021,2118551,110,2118446,1,0,0,405017,3394149,478925,3870703
94-2665367,OCEAN VOYAGES INSTITUTE,Sausalito,CA,2020,538696,139,538418,1,0,0,298419,1680720,478925,3870703
94-2665367,OCEAN VOYAGES INSTITUTE,Sausalito,CA,2019,459565,114,459679,1,0,0,331292,1440721,478925,3870703
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Pine Mountain Club,CA,2022,197198,426716,622914,0.32,100800,145374,533596,-26198,445782,69748
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Pine Mountain Club,CA,2021,267345,59803,327148,0.82,0,253104,398244,-115516,445782,69748
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Pine Mountain Club,CA,2020,68969,84488,436790,0.16,57200,217469,497633,-44420,445782,69748
20-1832617,LAWRENCE ANTHONY EARTH ORGANIZATION (LAEO),Pine Mountain Club,CA,2019,102163,403055,505242,0.2,53018,145522,563945,16423,445782,69748
47-5161428,WSL PURE,Santa Monica,CA,2022,135164,0,135164,1,0,60129,336476,532387,299372,550788
47-5161428,WSL PURE,Santa Monica,CA,2021,1675014,0,1675014,1,0,55095,332572,733699,299372,550788
47-5161428,WSL PURE,Santa Monica,CA,2020,153092,0,153092,1,0,44013,54942,-608743,299372,550788
47-5161428,WSL PURE,Santa Monica,CA,2019,139476,0,139476,1,0,0,43092,-706460,299372,550788
94-2216915,Tahoe Keys Beach and Harbor Association Inc,South Lake Tahoe,CA,2022,272581,21923,294504,0.93,0,0,557891,1873840,294504,2383983
94-2216915,Tahoe Keys Beach and Harbor Association Inc,South Lake Tahoe,CA,2021,91000,18600,109600,0.83,9517,0,348469,1898678,294504,2383983
94-2216915,Tahoe Keys Beach and Harbor Association Inc,South Lake Tahoe,CA,2020,0,223089,223089,0,11520,25200,209160,1440368,294504,2383983
94-2216915,Tahoe Keys Beach and Harbor Association Inc,South Lake Tahoe,CA,2019,0,222496,222496,0,36720,0,241766,1426919,294504,2383983
23-7213237,Environmental Center of SLO (ECOSLO),San Luis Obispo,CA,2021,370314,796,381067,0.97,0,182116,420263,294435,265274,306074
23-7213237,Environmental Center of SLO (ECOSLO),San Luis Obispo,CA,2020,372750,1766,378417,0.99,0,120178,248148,333624,265274,306074
23-7213237,Environmental Center of SLO (ECOSLO),San Luis Obispo,CA,2019,230532,1484,244807,0.94,0,52436,114618,203355,265274,306074
85-3432174,Carmel Cares,Carmel,CA,2022,288191,0,288191,1,0,0,266700,110410,241142,134688
85-3432174,Carmel Cares,Carmel,CA,2021,184245,0,184245,1,0,0,115570,88919,241142,134688
85-3432174,Carmel Cares,Carmel,CA,2020,0,0,32085,0,0,0,11840,0,241142,134688
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,Long Beach,CA,2022,123004,43812,166816,0.74,0,36471,201797,1524490,236345,1663156
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,Long Beach,CA,2021,236838,63732,300570,0.79,0,36960,203664,1792486,236345,1663156
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,Long Beach,CA,2020,127687,26294,153981,0.83,0,37100,284047,1514431,236345,1663156
33-0974992,Los Cerritos Wetlands Land Tr for Long Beach & Seal Beach,Long Beach,CA,2019,215864,43920,259784,0.83,0,30333,294302,1555540,236345,1663156
94-1693226,Seascape Beach Association,Aptos,CA,2022,0,0,134671,0,0,0,127415,0,134671,490040
94-1693226,Seascape Beach Association,Aptos,CA,2021,0,0,120032,0,0,0,113783,0,134671,490040
94-1693226,Seascape Beach Association,Aptos,CA,2020,0,0,139901,0,0,0,134031,0,134671,490040
94-1693226,Seascape Beach Association,Aptos,CA,2019,454961,5119,460080,0.99,0,0,450272,63719,134671,490040
22-3902362,ROB MACHADO FOUNDATION,Los Angeles,CA,2022,209765,353,241948,0.87,48000,0,189854,392098,132799,348789
22-3902362,ROB MACHADO FOUNDATION,Los Angeles,CA,2021,237393,190,265499,0.89,48000,0,166714,340004,132799,348789
22-3902362,ROB MACHADO FOUNDATION,Los Angeles,CA,2020,0,0,44338,0,0,0,88121,0,132799,348789
22-3902362,ROB MACHADO FOUNDATION,Los Angeles,CA,2019,0,0,120557,0,0,0,121326,0,132799,348789
95-6377791,Pacific Beach Town Council Inc,San Diego,CA,2022,0,0,61683,0,0,0,39782,0,114478,172836
95-6377791,Pacific Beach Town Council Inc,San Diego,CA,2021,0,0,47040,0,0,0,16152,0,114478,172836
95-6377791,Pacific Beach Town Council Inc,San Diego,CA,2020,0,0,46482,0,0,0,52940,0,114478,172836
95-6377791,Pacific Beach Town Council Inc,San Diego,CA,2019,0,0,53590,0,0,0,29383,0,114478,172836
33-0537412,Cabrillo Beach Boosters Incorporated,San Pedro,CA,2022,39869,12,39881,1,0,0,40579,87825,105191,116706
33-0537412,Cabrillo Beach Boosters Incorporated,San Pedro,CA,2021,6540,19,6559,1,0,0,17099,88523,105191,116706
33-0537412,Cabrillo Beach Boosters Incorporated,San Pedro,CA,2020,40849,15,40864,1,0,0,47944,99063,105191,116706
33-0537412,Cabrillo Beach Boosters Incorporated,San Pedro,CA,2019,47715,11,47726,1,0,0,56568,106143,105191,116706
45-3042628,SURFING MADONNA OCEANS PROJECT ,Encinitas,CA,2022,0,0,81624,0,0,0,130205,0,101808,219195
45-3042628,SURFING MADONNA OCEANS PROJECT ,Encinitas,CA,2021,0,0,100610,0,0,0,119917,0,101808,219195
45-3042628,SURFING MADONNA OCEANS PROJECT ,Encinitas,CA,2020,368,258449,260362,0,185000,0,412275,317658,101808,219195
45-3042628,SURFING MADONNA OCEANS PROJECT ,Encinitas,CA,2019,57684,699044,756728,0.08,244259,0,741402,475643,101808,219195
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Santa Barbara,CA,2022,92251,0,92251,1,54000,0,136845,610238,82636,617080
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Santa Barbara,CA,2021,179434,0,179434,1,54000,0,263934,767029,82636,617080
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Santa Barbara,CA,2020,95682,33843,129525,0.74,48500,0,287589,765963,82636,617080
95-2496099,SANTA BARBARA COUNTY TRAILS COUNCIL,Santa Barbara,CA,2019,43945,593477,637422,0.07,47000,0,213173,861276,82636,617080
45-2639830,The SeaChange Agency,Venice,CA,2022,0,0,152553,0,0,0,51078,0,44071,421068
45-2639830,The SeaChange Agency,Venice,CA,2020,0,0,67300,0,0,0,62601,0,44071,421068
95-3273023,Buckminster Fuller Institute,San Francisco,CA,2020,1052033,22636,1086568,0.97,167000,25026,1281778,572235,2942863,703781
95-3273023,Buckminster Fuller Institute,San Francisco,CA,2019,1327437,191321,1529502,0.87,226063,0,792166,767445,2942863,703781
68-0120240,San Francisco Baykeeper,Oakland,CA,2022,2344401,219576,2570056,0.91,270238,853511,1680433,1742816,2118458,2426668
68-0120240,San Francisco Baykeeper,Oakland,CA,2021,1245090,246645,1495238,0.83,251716,755454,1475817,1102272,2118458,2426668
68-0120240,San Francisco Baykeeper,Oakland,CA,2020,1213216,201890,1487284,0.82,224675,783039,1502839,1017126,2118458,2426668
68-0120240,San Francisco Baykeeper,Oakland,CA,2019,1231045,292549,1523594,0.81,218135,639076,1593584,1100144,2118458,2426668
95-2566791,I Love A Clean San Diego,San Diego,CA,2022,630499,1306127,1936406,0.33,126334,990102,1813227,1073185,2097188,1309500
95-2566791,I Love A Clean San Diego,San Diego,CA,2021,329658,1008072,1340137,0.25,184181,671362,1458598,1011704,2097188,1309500
95-2566791,I Love A Clean San Diego,San Diego,CA,2020,547843,966402,1508757,0.36,133359,717143,1398627,1054891,2097188,1309500
95-2566791,I Love A Clean San Diego,San Diego,CA,2019,503287,1290926,1804843,0.28,110000,752363,1694103,917718,2097188,1309500
77-0565183,Heal the Ocean,Santa Barbara,CA,2022,939705,2122,941249,1,155450,142176,674629,1375594,1836081,2106124
77-0565183,Heal the Ocean,Santa Barbara,CA,2021,755623,456,741797,1.02,155300,101892,618885,1108974,1836081,2106124
77-0565183,Heal the Ocean,Santa Barbara,CA,2020,1015157,1275,999951,1.02,155250,93995,501502,986062,1836081,2106124
77-0565183,Heal the Ocean,Santa Barbara,CA,2019,500079,1692,529975,0.94,136324,67783,429846,487613,1836081,2106124
82-4594246,New Roots Institute,Los Angeles,CA,2022,1195999,1315,1197314,1,80308,665221,1053175,1119071,1670660,1441271
82-4594246,New Roots Institute,Los Angeles,CA,2021,1489539,13686,1508083,0.99,0,563616,1002017,975975,1670660,1441271
82-4594246,New Roots Institute,Los Angeles,CA,2020,1049786,6232,1032275,1.02,52053,450178,931951,469873,1670660,1441271
82-4594246,New Roots Institute,Los Angeles,CA,2019,904789,31471,921966,0.98,0,377372,587655,367735,1670660,1441271
83-1159078,The Bill and Ginger Winder Family Foundation Inc,San Diego,CA,2022,0,0,267725,0,0,0,49292,0,1611057,1916038
83-1159078,The Bill and Ginger Winder Family Foundation Inc,San Diego,CA,2021,0,0,280862,0,0,0,45735,0,1611057,1916038
83-1159078,The Bill and Ginger Winder Family Foundation Inc,San Diego,CA,2020,0,0,135073,0,0,0,33377,0,1611057,1916038
83-1159078,The Bill and Ginger Winder Family Foundation Inc,San Diego,CA,2019,0,0,30820,0,0,0,15079,0,1611057,1916038
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,San Francisco,CA,2022,1402704,40356,1456340,0.96,125009,462758,1123941,818593,1607577,1422060
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,San Francisco,CA,2021,954643,8639,992611,0.96,96710,205596,845145,407389,1607577,1422060
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,San Francisco,CA,2020,839811,11890,863468,0.97,91124,352537,831504,225265,1607577,1422060
01-0777856,LITERACY FOR ENVIRONMENTAL JUSTICE,San Francisco,CA,2019,933994,40544,991792,0.94,86039,422553,1065121,202295,1607577,1422060
38-3891081,OCEANIC PRESERVATION SOCIETY,Greenbrae,CA,2022,390258,243430,635357,0.61,312319,35105,1156659,1092272,1602872,886037
38-3891081,OCEANIC PRESERVATION SOCIETY,Greenbrae,CA,2021,1267452,350418,1617995,0.78,241656,51356,1411389,1613574,1602872,886037
38-3891081,OCEANIC PRESERVATION SOCIETY,Greenbrae,CA,2020,1737003,140954,1878207,0.92,0,138461,495857,1406967,1602872,886037
38-3891081,OCEANIC PRESERVATION SOCIETY,Greenbrae,CA,2019,1780829,558212,2343503,0.76,0,262284,2482620,-41788,1602872,886037
94-2951488,Call of the Sea,Sausalito,CA,2022,1296014,606914,1890507,0.69,113077,524362,1456490,6155016,1572244,6191148
94-2951488,Call of the Sea,Sausalito,CA,2021,1052361,400334,1453610,0.72,0,351837,892362,5720999,1572244,6191148
94-2951488,Call of the Sea,Sausalito,CA,2020,502457,253897,756354,0.66,27323,356727,910345,5159751,1572244,6191148
94-2951488,Call of the Sea,Sausalito,CA,2019,1086101,230329,1366267,0.79,31320,432857,1041839,5360819,1572244,6191148
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Milpitas,CA,2022,673090,433777,1106867,0.61,81115,738005,1263695,283127,1288654,419569
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Milpitas,CA,2021,920177,368466,1288643,0.71,84822,529046,987438,504223,1288654,419569
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Milpitas,CA,2020,638586,257675,896261,0.71,71981,455003,906015,203018,1288654,419569
94-2788588,SAN FRANCISCO BAY BIRD OBSERVATORY,Milpitas,CA,2019,781772,255412,1037549,0.75,68904,474773,1004118,212772,1288654,419569
88-1650309,Save California Salmon,Orleans,CA,2022,1009826,0,1009826,1,52195,123136,335264,674563,1009826,688370
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,San Francisco,CA,2021,792765,459,793224,1,65000,281642,683457,332086,834626,1128147
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,San Francisco,CA,2020,1120714,144,1120858,1,60000,379932,787002,1051735,834626,1128147
43-2050242,GREENACTION FOR HEALTH AND ENVIRONMENTAL JUSTICE,San Francisco,CA,2019,702717,178,702895,1,60000,0,695926,290221,834626,1128147
30-0358349,ENDANGERED SPECIES INTERNATIONAL,San Francisco,CA,2022,0,0,157647,0,0,0,56678,0,160893,540175
30-0358349,ENDANGERED SPECIES INTERNATIONAL,San Francisco,CA,2021,243609,0,243609,1,0,0,63258,374705,160893,540175
30-0358349,ENDANGERED SPECIES INTERNATIONAL,San Francisco,CA,2020,0,0,132993,0,0,0,63602,0,160893,540175
46-5112972,The Hydrous,San Francisco,CA,2022,0,0,90414,0,0,0,544133,0,132973,111186
46-5112972,The Hydrous,San Francisco,CA,2021,0,0,1052631,0,0,0,357072,0,132973,111186
46-5112972,The Hydrous,San Francisco,CA,2020,0,0,180968,0,0,0,126370,0,132973,111186
46-5112972,The Hydrous,San Francisco,CA,2019,0,0,115019,0,0,0,164778,0,132973,111186
