,Mutation Value,Disease Implicated,Count
293,A->C,Parkinson disease 9,1
294,A->C,Paroxysmal extreme pain disorder,1
295,A->C,Perry syndrome,1
296,A->C,"Pheochromocytoma, Gastrointestinal stroma tumor, Paragangliomas 4",1
297,A->C,"Pituitary hormone deficiency, combined 1",1
298,A->C,"Pituitary hormone deficiency, combined 4",1
299,A->C,Premature ovarian failure 9,1
300,A->C,Primary autosomal recessive microcephaly 5,5
301,A->C,Primary autosomal recessive microcephaly 7,1
302,A->C,Primary erythromelalgia,2
303,A->C,"Primary hyperoxaluria, type I",3
304,A->C,Primary open angle glaucoma juvenile onset 1,1
305,A->C,Primary pulmonary hypertension,5
306,A->C,Pseudohermaphroditism,1
307,A->C,"Pseudohypoaldosteronism, type 2, Pseudohypoaldosteronism type 2E",2
308,A->C,"Pulmonary hypertension, primary, dexfenfluramine-associated",1
309,A->C,"Retinitis pigmentosa 20, not provided",1
310,A->C,Retinitis pigmentosa 4,1
311,A->C,Retinitis pigmentosa 61,1
312,A->C,Retinitis pigmentosa 68,1
313,A->C,Retinitis pigmentosa 71,1
314,A->C,Retinitis pigmentosa 76,2
315,A->C,SKRABAN-DEARDORFF SYNDROME,1
316,A->C,SeSAME syndrome,1
317,A->C,"Septo-optic dysplasia sequence, Pituitary hormone deficiency, combined 1",1
318,A->C,Severe myoclonic epilepsy in infancy,8
319,A->C,"Severe myoclonic epilepsy in infancy, Early infantile epileptic encephalopathy, not provided",1
320,A->C,"Smith-Kingsmore syndrome, not provided",1
321,A->C,"Spastic paraplegia 4, autosomal dominant, not provided",1
322,A->C,"Spastic paraplegia 42, autosomal dominant",1
323,A->C,"Spinocerebellar ataxia, autosomal recessive 10",1
324,A->C,"Spinocerebellar ataxia, autosomal recessive 22",1
325,A->C,Stargardt disease 1,1
326,A->C,"Stargardt disease 1, not provided",2
327,A->C,"Stargardt disease, not provided",1
328,A->C,Stromme syndrome,1
329,A->C,"Thrombophilia, hereditary, due to protein C deficiency, autosomal dominant",1
330,A->C,"Thrombophilia, hereditary, due to protein C deficiency, autosomal recessive",1
331,A->C,Thyroid dysgenesis,1
332,A->C,"Thyroid hormone resistance, generalized",1
333,A->C,"Thyroid hormone resistance, generalized, autosomal dominant, Thyroid Hormone Resistance",1
334,A->C,Triglyceride storage disease with ichthyosis,1
335,A->C,Tumor susceptibility linked to germline BAP1 mutations,1
336,A->C,"Tumoral calcinosis, familial, hyperphosphatemic",2
337,A->C,"Type D brachydactyly, Brachydactyly type E1",1
338,A->C,"Usher syndrome, type 2A",3
339,A->C,"Usher syndrome, type 3A, not provided",1
340,A->C,Variegate porphyria,1
341,A->C,"Variegate porphyria, homozygous",1
342,A->C,"Vitamin k-dependent clotting factors, combined deficiency of, 1",1
343,A->C,Von Hippel-Lindau syndrome,4
344,A->C,"Von Hippel-Lindau syndrome, not provided",1
345,A->C,Waardenburg syndrome type 2A,1
346,A->C,Warburg micro syndrome 1,1
347,A->C,"Xeroderma pigmentosum, group C",1
348,A->C,sporadic abdominal aortic aneurysm,1
353,A->G,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,2
354,A->G,AICAR transformylase/IMP cyclohydrolase deficiency,1
355,A->G,Acrocapitofemoral dysplasia,1
356,A->G,Adult junctional epidermolysis bullosa,1
357,A->G,"Advanced sleep phase syndrome, familial, 3",1
358,A->G,Alagille syndrome 2,2
359,A->G,"Alzheimer disease, type 4, not provided",1
360,A->G,Amenorrhea,1
361,A->G,Amyotrophic lateral sclerosis type 10,3
362,A->G,"Amyotrophic lateral sclerosis type 10, TARDBP-related frontotemporal dementia",1
363,A->G,Anterior segment dysgenesis 6,1
364,A->G,"Arthrogryposis, mental retardation, and seizures",1
365,A->G,Asphyxiating thoracic dystrophy 4,1
366,A->G,"Atelosteogenesis type 1, Atelosteogenesis type 3",1
367,A->G,Autism 5,1
368,A->G,"Autoinflammation with infantile enterocolitis, Syndrome of entercolitis and autoinflmmation caused by mutation of NLRC4 (SCAN4), not provided",1
369,A->G,Autosomal recessive hypohidrotic ectodermal dysplasia syndrome,1
370,A->G,Bardet-Biedl syndrome,1
371,A->G,"Bardet-Biedl syndrome 1, Bardet-Biedl syndrome 17",1
372,A->G,Bardet-Biedl syndrome 5,3
373,A->G,Benign familial neonatal-infantile seizures,1
374,A->G,Benign recurrent intrahepatic cholestasis 2,1
375,A->G,"Bernard Soulier syndrome, Bernard-Soulier syndrome type C",1
376,A->G,Bernard-Soulier syndrome type C,1
377,A->G,Biotin-thiamine-responsive basal ganglia disease,3
378,A->G,Biotinidase deficiency,5
379,A->G,"Biotinidase deficiency, not provided",1
380,A->G,Birbeck granule deficiency,1
381,A->G,"Brugada syndrome, Brugada syndrome 1",1
382,A->G,"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY",1
383,A->G,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIo, Congenital disorders of glycosylation type II",1
384,A->G,"Cardiac valvular defect, developmental",1
385,A->G,"Cardiomyopathy, dilated, 1NN",1
386,A->G,Cardiovascular phenotype,1
387,A->G,Carnitine palmitoyltransferase II deficiency,1
388,A->G,"Carnitine palmitoyltransferase II deficiency, myopathic, stress-induced",1
389,A->G,"Cataract, autosomal recessive congenital 2",1
390,A->G,Catecholaminergic polymorphic ventricular tachycardia,1
391,A->G,Catecholaminergic polymorphic ventricular tachycardia type 1,1
392,A->G,Central centrifugal cicatricial alopecia,2
393,A->G,"Charcot-Marie-Tooth disease, Spinal muscular atrophy, distal, autosomal recessive, 5",1
394,A->G,"Charcot-Marie-Tooth disease, axonal, type 2T",1
395,A->G,"Charcot-Marie-Tooth disease, demyelinating, type 1b",2
396,A->G,"Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I",1
397,A->G,"Charcot-Marie-Tooth disease, demyelinating, type 1b, not provided",1
398,A->G,"Charcot-Marie-Tooth disease, type 2, Charcot-Marie-Tooth disease, type 2A2A, not provided",1
399,A->G,"Charcot-Marie-Tooth disease, type 2, not provided",2
400,A->G,Cholestanol storage disease,1
401,A->G,Chédiak-Higashi syndrome,1
402,A->G,Ciliary dyskinesia,1
403,A->G,"Cleft palate, psychomotor retardation, and distinctive facial features",1
404,A->G,"Coenzyme Q10 deficiency, primary, 4",1
405,A->G,Combined oxidative phosphorylation deficiency 13,1
406,A->G,Combined oxidative phosphorylation deficiency 21,1
407,A->G,Congenital disorder of deglycosylation,1
408,A->G,Congenital disorder of glycosylation type 1O,2
409,A->G,Congenital disorder of glycosylation type 1bb,1
410,A->G,Congenital disorder of glycosylation type 1t,1
411,A->G,Congenital disorder of glycosylation type 2B,1
412,A->G,"Congenital hyperammonemia, type I",1
413,A->G,"Congenital long QT syndrome, Atrial standstill 1, digenic",1
414,A->G,"Congenital myasthenic syndrome 1B, fast-channel",1
415,A->G,Congenital myopathy with fiber type disproportion,1
416,A->G,Cranioectodermal dysplasia 2,1
417,A->G,"Crigler Najjar syndrome, type 1",2
418,A->G,"Crigler-Najjar syndrome, type II",1
419,A->G,D-2-hydroxyglutaric aciduria 1,3
420,A->G,Deafness,1
421,A->G,"Deafness, autosomal recessive",1
422,A->G,"Deafness, autosomal recessive 9",2
423,A->G,"Deafness, autosomal recessive 9, Auditory neuropathy, autosomal recessive, 1",1
424,A->G,"Deafness, digenic, GJB2/GJB3",1
425,A->G,Deficiency of ferroxidase,3
426,A->G,"Diarrhea 5, with tufting enteropathy, congenital, not provided",1
427,A->G,Distal arthrogryposis type 5D,1
428,A->G,Distal myopathy Markesbery-Griggs type,1
429,A->G,"Distal spinal muscular atrophy, autosomal recessive 4",1
430,A->G,Duane syndrome type 2,2
431,A->G,Dyschromatosis universalis hereditaria 3,1
432,A->G,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 68",1
433,A->G,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 69",1
434,A->G,"EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3",1
435,A->G,Early infantile epileptic encephalopathy,1
436,A->G,Early infantile epileptic encephalopathy 11,1
437,A->G,"Ehlers-Danlos syndrome, type 4",6
438,A->G,"Eichsfeld type congenital muscular dystrophy, not provided",1
439,A->G,Elliptocytosis 2,1
440,A->G,"Encephalopathy, acute, infection-induced, 3, suceptibility to",1
441,A->G,"Encephalopathy, familial, with neuroserpin inclusion bodies",1
442,A->G,"Epilepsy, familial focal, with variable foci 2",1
443,A->G,"Epileptic encephalopathy, early infantile, 32",1
444,A->G,"Epileptic encephalopathy, early infantile, 44",1
445,A->G,"Episodic pain syndrome, familial, 3",1
446,A->G,"Erythrocytosis, familial, 4",1
447,A->G,"FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED",1
448,A->G,"Factor v and factor viii, combined deficiency of, 2",1
449,A->G,Familial cold urticaria,1
450,A->G,"Familial cold urticaria, not provided",1
451,A->G,Familial hemiplegic migraine type 2,1
452,A->G,Familial hemiplegic migraine type 3,1
453,A->G,Familial hypercholesterolemia,3
454,A->G,Familial hypertrophic cardiomyopathy 23,1
455,A->G,Fanconi-Bickel syndrome,1
456,A->G,Filippi syndrome,1
457,A->G,Fleck corneal dystrophy,1
458,A->G,Focal cortical dysplasia type II,1
459,A->G,GALLOWAY-MOWAT SYNDROME 5,1
460,A->G,GLUT1 deficiency syndrome 1,1
461,A->G,"GRACILE syndrome, not provided",1
462,A->G,"Gaucher disease, Gaucher disease, perinatal lethal",1
463,A->G,"Gaucher's disease, type 1",1
464,A->G,"Generalized epilepsy with febrile seizures plus, type 1, Generalized epilepsy with febrile seizures plus, type 2",2
465,A->G,"Generalized epilepsy with febrile seizures plus, type 1, Severe myoclonic epilepsy in infancy",1
466,A->G,"Generalized epilepsy with febrile seizures plus, type 1, not provided",1
467,A->G,"Generalized epilepsy with febrile seizures plus, type 2, not provided",1
468,A->G,"Gilbert's syndrome, Crigler-Najjar syndrome, type II",1
469,A->G,Gillespie syndrome,1
470,A->G,Glomerulopathy with fibronectin deposits 2,1
471,A->G,Glycogen storage disease IIIc,1
472,A->G,Gonadotropin-independent familial sexual precocity,1
473,A->G,Hemochromatosis type 2A,3
474,A->G,Hemochromatosis type 4,1
475,A->G,"Hepatoerythropoietic porphyria, Porphyria cutanea tarda, type I",1
476,A->G,Hereditary Paraganglioma-Pheochromocytoma Syndromes,1
477,A->G,Hereditary cancer-predisposing syndrome,1
478,A->G,"Hereditary cancer-predisposing syndrome, Hereditary Paraganglioma-Pheochromocytoma Syndromes, not provided",1
479,A->G,"Hereditary cancer-predisposing syndrome, Lynch syndrome",3
480,A->G,"Hereditary cancer-predisposing syndrome, Lynch syndrome, Lynch syndrome II, not provided",1
481,A->G,"Hereditary cancer-predisposing syndrome, Lynch syndrome, not provided",1
482,A->G,"Hereditary cancer-predisposing syndrome, Paragangliomas 3",1
483,A->G,"Hereditary cancer-predisposing syndrome, Turcot syndrome, Lynch syndrome, not provided",1
484,A->G,"Hereditary cancer-predisposing syndrome, not provided",1
485,A->G,Hereditary insensitivity to pain with anhidrosis,2
486,A->G,Hereditary motor and sensory neuropathy with optic atrophy,1
487,A->G,Hereditary myopathy with early respiratory failure,1
488,A->G,"Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome, Lynch syndrome",1
489,A->G,"Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome, Lynch syndrome, Lynch syndrome II, not provided",1
490,A->G,"Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome, not provided",1
491,A->G,"Hereditary nonpolyposis colon cancer, Lynch syndrome",2
492,A->G,"Hereditary nonpolyposis colon cancer, Lynch syndrome I",1
493,A->G,"Hereditary nonpolyposis colon cancer, Lynch syndrome, not provided",2
494,A->G,"Hereditary pyropoikilocytosis, Elliptocytosis 2",1
495,A->G,Hermansky-Pudlak syndrome 3,1
496,A->G,"High palate, Wide nasal bridge, Strabismus, Intellectual disability, Seizures, Global developmental delay, Generalized hypotonia",1
497,A->G,History of neurodevelopmental disorder,1
498,A->G,Homocysteinemia due to MTHFR deficiency,5
499,A->G,Homocystinuria due to MTHFR deficiency,1
500,A->G,"Homocystinuria, cblD type, variant 1",1
501,A->G,"Hutchinson-Gilford progeria syndrome, atypical",1
502,A->G,Hydroxykynureninuria,1
503,A->G,Hypermanganesemia with dystonia 1,3
504,A->G,"Hyperuricemic nephropathy, familial juvenile, 4",1
505,A->G,"Hypocalcemia, autosomal dominant 1, Hypocalciuric hypercalcemia, familial, type 1, not provided",1
506,A->G,"Hypocalcemia, autosomal dominant 1, with bartter syndrome",1
507,A->G,"Hypomagnesemia 5, renal, with ocular involvement",1
508,A->G,"Hypotonia, infantile, with psychomotor retardation",1
509,A->G,Hypotrichosis 11,1
510,A->G,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES,1
511,A->G,Immunodeficiency 31C,1
512,A->G,Immunodeficiency 31a,1
513,A->G,Immunodeficiency due to defect in cd3-zeta,1
514,A->G,Inborn genetic diseases,3
515,A->G,"Inborn genetic diseases, Spastic paraplegia 4, autosomal dominant, not provided",1
516,A->G,"Inborn genetic diseases, Takenouchi-Kosaki syndrome",1
517,A->G,"Inborn genetic diseases, not provided",1
518,A->G,Infantile GM1 gangliosidosis,1
519,A->G,Infantile liver failure syndrome 2,1
520,A->G,Joubert syndrome 25,1
521,A->G,Joubert syndrome 8,2
522,A->G,Klein-Waardenberg's syndrome,1
523,A->G,"LEUKODYSTROPHY, HYPOMYELINATING, 15",1
524,A->G,Lattice corneal dystrophy Type III,1
525,A->G,Leber congenital amaurosis 16,1
526,A->G,"Leber congenital amaurosis 2, Retinitis pigmentosa 20, RPE65-Related Disorders, not provided",1
527,A->G,Leber congenital amaurosis 9,1
528,A->G,Left ventricular noncompaction 8,1
529,A->G,"Leukodystrophy, hypomyelinating, 10",1
530,A->G,"Leukodystrophy, hypomyelinating, 2",1
531,A->G,Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation,1
532,A->G,Leukoencephalopathy with vanishing white matter,1
533,A->G,Leukonychia totalis,1
534,A->G,Leydig cell agenesis,2
535,A->G,"Leydig cell hypoplasia, partial",1
536,A->G,"Limb-girdle muscular dystrophy, type 2B",5
537,A->G,"Limb-girdle muscular dystrophy, type 2J, Distal myopathy Markesbery-Griggs type, Dilated cardiomyopathy 1G, Familial hypertrophic cardiomyopathy 9, Hereditary myopathy with early respiratory failure, not provided",1
538,A->G,Lipoyltransferase 1 deficiency,1
539,A->G,"Liver cirrhosis, Cerebral calcification, Dilatation, Interstitial pneumonitis",1
540,A->G,"Liver cirrhosis, Cerebral calcification, Dilatation, Interstitial pneumonitis, Rajab syndrome",1
541,A->G,Loeys-Dietz syndrome 2,2
542,A->G,Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,1
543,A->G,"Lymphedema, primary, with myelodysplasia",1
544,A->G,Lynch syndrome,1
545,A->G,Lynch syndrome I,2
546,A->G,"Lynch syndrome, Diarrhea 5, with tufting enteropathy, congenital",1
547,A->G,"Lynch syndrome, Lynch syndrome II, not provided",1
548,A->G,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 22",1
549,A->G,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 31",1
550,A->G,"MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, WITH CARDIOMYOPATHY AND TRIANGULAR TONGUE",1
551,A->G,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 8",1
552,A->G,"Macular dystrophy, vitelliform, 5",1
553,A->G,Malignant migrating partial seizures of infancy,1
554,A->G,Medium-chain acyl-coenzyme A dehydrogenase deficiency,2
555,A->G,"Medium-chain acyl-coenzyme A dehydrogenase deficiency, not provided",2
556,A->G,Meier-Gorlin syndrome 1,1
557,A->G,Mental retardation with language impairment and with or without autistic features,1
558,A->G,"Mental retardation, autosomal dominant 27",1
559,A->G,"Metaphyseal chondrodysplasia, Jansen type",1
560,A->G,Methylmalonic acidemia with homocystinuria,1
561,A->G,"Methylmalonic acidemia with homocystinuria, not provided",1
562,A->G,"Microcephaly, Hearing impairment, Strabismus, Delayed speech and language development, Global developmental delay, Sleep disturbance, Muscular hypotonia of the trunk, NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE",1
563,A->G,"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy",1
564,A->G,Mitochondrial complex III deficiency,1
565,A->G,"Mitochondrial diseases, Combined oxidative phosphorylation deficiency 30",1
566,A->G,Mitochondrial trifunctional protein deficiency,2
567,A->G,"Miyoshi muscular dystrophy 1, Limb-girdle muscular dystrophy, type 2B",1
568,A->G,Mowat-Wilson syndrome,1
569,A->G,"Mucopolysaccharidosis, MPS-IV-B",1
570,A->G,"Mucopolysaccharidosis, MPS-IV-B, Infantile GM1 gangliosidosis, GM1 gangliosidosis type 2, Gangliosidosis GM1 type 3",2
571,A->G,Mullerian aplasia and hyperandrogenism,1
572,A->G,Multiple gastrointestinal atresias,1
573,A->G,Multiple mitochondrial dysfunctions syndrome 3,1
574,A->G,Multiple sulfatase deficiency,1
575,A->G,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 14, Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14, Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14",1
576,A->G,"Muscular hypotonia, Global developmental delay",1
577,A->G,"Myasthenic syndrome, congenital, 20, presynaptic",1
578,A->G,"Mycobacterial and viral infections, susceptibility to, autosomal recessive",1
579,A->G,Myofibrillar myopathy 1,1
580,A->G,"Myofibrillar myopathy 1, not provided",1
581,A->G,"Myofibrillar myopathy, not provided",1
582,A->G,"Myopathy, vacuolar, with casq1 aggregates",1
583,A->G,"NEPHROTIC SYNDROME, TYPE 18",1
584,A->G,"Navajo neurohepatopathy, not provided",1
585,A->G,Nemaline myopathy 3,3
586,A->G,Nephronophthisis 4,1
587,A->G,"Nephrotic syndrome, type 5, with or without ocular abnormalities",1
588,A->G,Neuroblastoma,1
589,A->G,"Neurodevelopmental Disability, hypotonia, Cleft palate, Strabismus, Nystagmus, Hypothyroidism, Intellectual disability, Seizures, Muscular hypotonia, Global developmental delay, Dystonia, Failure to thrive, Growth delay, Developmental regression, Expressive language delay, Limb hypertonia, Inability to walk, Infantile axial hypotonia, Multifocal epileptiform discharges, EEG with generalized epileptiform discharges, Upper limb hypertonia, Myelodysplastic syndrome, Inborn genetic diseases, Mental retardation, autosomal dominant 42, not provided",1
590,A->G,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",1
591,A->G,"Neuropathy, hereditary sensory and autonomic, type VII",1
592,A->G,"Neuropathy, hereditary sensory and autonomic, type VII, not provided",1
593,A->G,"Night blindness, congenital stationary, type 1g",1
594,A->G,Non-ketotic hyperglycinemia,2
595,A->G,"Noonan syndrome, Inborn genetic diseases, Noonan syndrome 4, Rasopathy, not provided",1
596,A->G,"Noonan syndrome, Noonan syndrome 4, not provided",1
597,A->G,"Noonan syndrome, Noonan syndrome 8, not provided",1
598,A->G,"Noonan syndrome, Rasopathy, not provided",2
599,A->G,"Noonan syndrome, not provided",2
600,A->G,Odontotrichomelic syndrome,1
601,A->G,Ovarian hyperstimulation syndrome,1
602,A->G,Ovarioleukodystrophy,2
603,A->G,PERIVENTRICULAR NODULAR HETEROTOPIA 8,1
604,A->G,"Parkinson disease 19a, juvenile-onset",1
605,A->G,"Parkinson disease 19b, early-onset",1
606,A->G,Paroxysmal extreme pain disorder,1
607,A->G,"Peroxisome biogenesis disorder 6A, Peroxisome biogenesis disorder 6B",1
608,A->G,"Pituitary hormone deficiency, combined 1",1
609,A->G,"Pituitary hormone deficiency, combined 5",2
610,A->G,Pontocerebellar hypoplasia type 2B,1
611,A->G,"Pontocerebellar hypoplasia, type 2f",1
612,A->G,Popliteal pterygium syndrome,1
613,A->G,"Popliteal pterygium syndrome, Van der Woude syndrome",1
614,A->G,Posterior column ataxia with retinitis pigmentosa,1
615,A->G,Primary autosomal recessive microcephaly 14,1
616,A->G,"Primary autosomal recessive microcephaly 5, not provided",1
617,A->G,"Primary dilated cardiomyopathy, Dilated cardiomyopathy 1A, not provided",1
618,A->G,"Primary dilated cardiomyopathy, Dilated cardiomyopathy 1G",1
619,A->G,Primary erythromelalgia,2
620,A->G,"Primary hyperoxaluria, type I",4
621,A->G,Primary open angle glaucoma,1
622,A->G,Primary open angle glaucoma juvenile onset 1,2
623,A->G,Primary pulmonary hypertension,14
624,A->G,Primary pulmonary hypertension 4,1
625,A->G,"Primary pulmonary hypertension, not provided",2
